DEPT,DEPT,GR,CALI,SP,ILD,SFLU,MSFL,DT,RHOB,DRHO,PEF,NPHI,log10_ILD,log10_SFLU,log10_MSFL,ILD_to_SFLU,MSFL_to_SFLU,ILD_to_MSFL,NPHI_RHOB_product,NPHI_minus_DRHO,GR_DT_product,DEPT_normalized,GR_roll5_mean,GR_roll15_mean,GR_roll15_std,ILD_roll5_mean,ILD_roll15_mean,ILD_roll15_std,RHOB_roll5_mean,RHOB_roll15_mean,RHOB_roll15_std,NPHI_roll5_mean,NPHI_roll15_mean,NPHI_roll15_std,DT_roll5_mean,DT_roll15_mean,DT_roll15_std,Porosity,Permeability k,Water Saturation Sw
7815.0,7815.0,62.3,18.12,-85.7111,11.1608,10.8345,10.3046,82.6667,2.4884,0.0027,3.7333,22.2667,1.047695325706688,1.0348088739159729,1.0130311381662387,1.0301167566569753,0.9510914209239005,1.0830891058362284,55.408456279999996,22.264,5150.13541,0.004039859951521681,60.60666,59.41333333333333,3.058032851516179,11.18844,11.185046666666667,0.1798356188565559,2.4787999999999997,2.4636599999999995,0.03455436296620133,22.904000000000003,23.294213333333335,1.046628963363991,83.27556000000001,82.85778,1.0600958697886074,0.18399935941449225,30.936071031694368,0.6086954339345156
7815.5,7815.5,61.7,18.5422,-86.0667,11.1608,10.6804,10.5502,85.4,2.4536,0.0017,3.6044,22.8933,1.047695325706688,1.0285875180988766,1.023260692626421,1.0449795887794464,0.9878094453391258,1.0578756800818943,56.171000879999994,22.8916,5269.18,0.004174521949905737,59.8,59.699999999999996,3.214082579168444,11.13374,11.199493333333333,0.1756538864059672,2.4628,2.4570799999999995,0.03150644378535892,23.28532,23.606213333333333,1.1235801776125345,83.30222,83.00888666666667,1.1850864609004323,0.19544728892746788,44.437047324766255,0.5730423304261909
7816.0,7816.0,57.3333,19.38,-86.7333,11.1039,10.4855,11.0925,83.4667,2.4309,0.0024,3.4044,24.5333,1.0454755419396928,1.0205891445832938,1.0450294373885924,1.0589766820847837,1.0578894664059892,1.001027721433401,59.63799897,24.5309,4785.421351110001,0.0043091839482897925,58.17999999999999,59.70666666666666,3.2177399887557554,11.06354,11.197180000000001,0.17447717083576797,2.44748,2.4537066666666667,0.03199516630159384,23.70398,23.81332666666667,1.203100043617483,83.08890000000001,83.16148000000001,1.2468374227849892,0.21028508785861655,68.58013943403496,0.5339711223501171
7816.5,7816.5,55.7667,19.3311,-86.2,11.0021,10.3257,10.8235,82.6444,2.4298,0.006,3.3244,24.8933,1.0414755880097497,1.0139195030240808,1.0343677214816105,1.0655064547681998,1.0482098065990684,1.016501131796554,60.48574034000001,24.8873,4608.80546148,0.004443845946673849,56.726659999999995,59.70666666666667,3.2177399887557554,11.034040000000001,11.17614,0.14084147015095463,2.43602,2.4520866666666663,0.03233763545262152,23.965300000000003,23.81599333333333,1.2032077130182781,82.81778,83.24888666666666,1.2753291047897284,0.2126433525736694,72.6538139150414,0.5304865937017631
7817.0,7817.0,53.8,16.8378,-86.0667,10.8901,10.1373,10.7352,81.2667,2.4347,0.0004,3.3333,23.9333,1.037031867749236,1.0059222990561347,1.030810139884263,1.0742604046442348,1.0589802018288894,1.0144291675981816,58.270405509999996,23.9329,4372.148459999999,0.004578507945057905,55.86666,59.49333333333334,3.1313382453300154,11.027199999999999,11.1738,0.13617907328219142,2.43046,2.451713333333333,0.03222239386927427,23.994639999999997,23.52888,1.5672093556929245,82.4,83.35406666666667,1.271264374924559,0.20590511908754924,59.27979533654655,0.5506567155558753
7817.5,7817.5,55.0333,16.4778,-86.1556,11.0133,9.9625,10.4855,81.3111,2.4311,-0.0067,3.2844,23.5733,1.0419174694760818,0.9983683344041687,1.0205891445832938,1.1054755332496862,1.0524968632371392,1.0503361785322587,57.30904963,23.58,4474.818159629999,0.0047131699434419605,56.113339999999994,59.53333333333333,3.1502597273119566,11.031740000000001,11.201306666666666,0.19478113529462557,2.4293400000000003,2.451166666666667,0.03156939446151357,24.01064,23.34754666666667,1.7892758478807909,82.61778,83.38665999999999,1.265962260665189,0.20467330990586133,57.83046855709009,0.5508635926907011
7818.0,7818.0,57.4,16.98,-85.6445,11.1266,9.6612,10.2102,83.3111,2.4258,-0.0084,3.2667,23.04,1.0463624754918521,0.9850310726899435,1.0090342492412363,1.151678880470335,1.056825239100733,1.089753383871031,55.890432000000004,23.0484,4782.05714,0.004847831941826017,57.61999999999999,59.50666666666666,3.1495340799794778,11.08184,11.257966666666666,0.3084076793250514,2.42844,2.45044,0.030219974472901753,24.23998,23.27021333333333,1.8305770057813016,83.07556,83.39554666666666,1.2598300973128003,0.20290523544265154,55.46179968458467,0.5528273580794123
7818.5,7818.5,58.5667,17.2133,-85.5556,11.1266,9.7906,10.0546,84.5556,2.4253,-0.0026,3.3511,24.6133,1.0463624754918521,0.9908093076054343,1.0023647978319945,1.1364574183400404,1.0269646395522236,1.1066178664491872,59.69463649,24.6159,4952.142458519999,0.004982493940210072,59.14,59.446666666666665,3.1089951166313994,11.15664,11.337873333333333,0.43359355633500357,2.4266599999999996,2.45062,0.03061384374055968,24.589319999999997,23.33688,1.7925854652667788,83.75999999999999,83.40592,1.2510690384055878,0.21205882789984123,72.27241709114865,0.5289643744669881
7819.0,7819.0,63.3,16.1622,-84.9778,11.2526,10.1374,10.358,84.9333,2.4253,-0.0008,3.4178,26.04,1.0512528811310866,1.0059265831588036,1.0152759066818753,1.1100084834375679,1.0217610038076825,1.086368024715196,63.154812,26.0408,5376.27789,0.005117155938594129,60.99334,59.32888666666667,3.025523424105211,11.206799999999998,11.427386666666667,0.5236675756713628,2.4273200000000004,2.452566666666667,0.03393592000619176,24.65066,23.387546666666665,1.7707846694400227,84.34666,83.22814,1.5234404497714897,0.22041392797587558,92.1635193588316,0.5060559588994299
7819.5,7819.5,61.4,16.3156,-84.9556,11.2641,10.6152,11.8676,84.6889,2.4258,-0.0016,3.44,25.68,1.0516964973782403,1.0259281810812098,1.07436289990295,1.0611293239882431,1.1179817620016579,0.9491472580808251,62.294544,25.6816,5199.89846,0.005251817936978185,61.35334,59.43555333333333,3.141086980390824,11.26448,11.511793333333333,0.5769550235833765,2.43384,2.457173333333333,0.03847294906195516,24.01866,23.330659999999998,1.8012407964670192,84.49332,82.89184,1.5659504328955318,0.218177850777841,86.78255205750173,0.5109814211586196
