Feature,TargetCorrelation,AbsCorrelation,Selected,Target,SelectionStage
GR_roll5_mean,0.3593285724609094,0.3593285724609094,False,Water Saturation Sw,validation_train_only
DRHO,0.3438212364236432,0.3438212364236432,True,Water Saturation Sw,validation_train_only
GR,0.34214731817211724,0.34214731817211724,False,Water Saturation Sw,validation_train_only
CALI,0.33635852797215515,0.33635852797215515,True,Water Saturation Sw,validation_train_only
RHOB_roll15_std,0.24465373449586808,0.24465373449586808,True,Water Saturation Sw,validation_train_only
DT_roll15_std,0.1379275689875703,0.1379275689875703,False,Water Saturation Sw,validation_train_only
NPHI_minus_DRHO,-0.12075105964298712,0.12075105964298712,False,Water Saturation Sw,validation_train_only
NPHI,-0.11887204252806177,0.11887204252806177,False,Water Saturation Sw,validation_train_only
NPHI_roll5_mean,-0.10024026839082427,0.10024026839082427,False,Water Saturation Sw,validation_train_only
GR_roll15_std,-0.08941608522631772,0.08941608522631772,False,Water Saturation Sw,validation_train_only
NPHI_roll15_mean,-0.07180765480602172,0.07180765480602172,False,Water Saturation Sw,validation_train_only
NPHI_roll15_std,-0.06986604198724357,0.06986604198724357,False,Water Saturation Sw,validation_train_only
NPHI_RHOB_product,0.049088832482191876,0.049088832482191876,False,Water Saturation Sw,validation_train_only
GR_DT_product,0.04560996714088353,0.04560996714088353,False,Water Saturation Sw,validation_train_only
log10_ILD,-0.8854923281234414,0.8854923281234414,True,Water Saturation Sw,test_train_validation
log10_SFLU,-0.7319000653491923,0.7319000653491923,True,Water Saturation Sw,test_train_validation
DT_roll15_mean,-0.7267395662322146,0.7267395662322146,True,Water Saturation Sw,test_train_validation
DT_roll5_mean,-0.7242599787256089,0.7242599787256089,False,Water Saturation Sw,test_train_validation
DT,-0.7153351669111028,0.7153351669111028,False,Water Saturation Sw,test_train_validation
RHOB_roll5_mean,0.6941196462955441,0.6941196462955441,True,Water Saturation Sw,test_train_validation
RHOB,0.6913677696133419,0.6913677696133419,False,Water Saturation Sw,test_train_validation
RHOB_roll15_mean,0.6899449060094828,0.6899449060094828,False,Water Saturation Sw,test_train_validation
ILD_roll15_mean,-0.687752301963034,0.687752301963034,False,Water Saturation Sw,test_train_validation
SFLU,-0.6838315477036863,0.6838315477036863,False,Water Saturation Sw,test_train_validation
ILD_roll5_mean,-0.6805715855492666,0.6805715855492666,False,Water Saturation Sw,test_train_validation
ILD,-0.6773532087992464,0.6773532087992464,False,Water Saturation Sw,test_train_validation
DEPT,0.5920698419454484,0.5920698419454484,True,Water Saturation Sw,test_train_validation
DEPT_normalized,0.5920698419454479,0.5920698419454479,False,Water Saturation Sw,test_train_validation
ILD_to_SFLU,-0.5569400583056117,0.5569400583056117,True,Water Saturation Sw,test_train_validation
